date,bucket,count
2012-11,93,2
2012-11,94,1
2012-11,96,1
2012-11,97,1
2012-11,98,1
2012-11,99,2
2012-11,100,23
2012-12,0,156
2012-12,1,509
2012-12,2,253
2012-12,3,12
2012-12,4,3
2012-12,5,14
2012-12,6,4
2012-12,7,4
2012-12,8,16
2012-12,9,21
2012-12,10,62
2012-12,11,342
2012-12,12,1857
2012-12,13,3157
2012-12,14,2257
2012-12,15,1521
2012-12,16,1232
2012-12,17,1002
2012-12,18,881
2012-12,19,725
2012-12,20,619
2012-12,21,482
2012-12,22,394
2012-12,23,321
2012-12,24,255
2012-12,25,170
2012-12,26,150
2012-12,27,92
2012-12,28,76
2012-12,29,54
2012-12,30,48
2012-12,31,50
2012-12,32,40
2012-12,33,33
2012-12,34,29
2012-12,35,14
2012-12,36,19
2012-12,37,27
2012-12,38,16
2012-12,39,13
2012-12,40,11
2012-12,41,12
2012-12,42,10
2012-12,43,8
2012-12,44,5
2012-12,45,7
2012-12,46,8
2012-12,47,7
2012-12,48,7
2012-12,49,6
2012-12,50,3
2012-12,51,3
2012-12,52,5
2012-12,53,4
2012-12,54,1
2012-12,55,3
2012-12,56,4
2012-12,57,3
2012-12,58,7
2012-12,59,3
2012-12,60,3
2012-12,61,3
2012-12,62,1
2012-12,63,6
2012-12,64,3
2012-12,65,2
2012-12,66,2
2012-12,67,2
2012-12,68,4
2012-12,69,2
2012-12,71,1
2012-12,72,2
2012-12,73,1
2012-12,74,2
2012-12,75,3
2012-12,76,1
2012-12,77,1
2012-12,78,2
2012-12,79,1
2012-12,81,1
2012-12,83,1
2012-12,84,1
2012-12,91,1
2012-12,96,2
2012-12,99,2
2012-12,100,15
2013-01,0,436
2013-01,1,1096
2013-01,2,434
2013-01,3,43
2013-01,4,9
2013-01,5,54
2013-01,6,19
2013-01,7,12
2013-01,8,14
2013-01,9,30
2013-01,10,73
2013-01,11,357
2013-01,12,1994
2013-01,13,4432
2013-01,14,5630
2013-01,15,5291
2013-01,16,4435
2013-01,17,3692
2013-01,18,2965
2013-01,19,2369
2013-01,20,1975
2013-01,21,1773
2013-01,22,1471
2013-01,23,1173
2013-01,24,956
2013-01,25,716
2013-01,26,607
2013-01,27,497
2013-01,28,375
2013-01,29,283
2013-01,30,236
2013-01,31,187
2013-01,32,133
2013-01,33,125
2013-01,34,109
2013-01,35,99
2013-01,36,69
2013-01,37,75
2013-01,38,74
2013-01,39,76
2013-01,40,57
2013-01,41,48
2013-01,42,44
2013-01,43,47
2013-01,44,32
2013-01,45,35
2013-01,46,24
2013-01,47,22
2013-01,48,17
2013-01,49,12
2013-01,50,13
2013-01,51,12
2013-01,52,11
2013-01,53,10
2013-01,54,7
2013-01,55,12
2013-01,56,5
2013-01,57,9
2013-01,58,8
2013-01,59,7
2013-01,60,7
2013-01,61,7
2013-01,62,7
2013-01,63,6
2013-01,64,3
2013-01,65,5
2013-01,66,8
2013-01,67,6
2013-01,68,4
2013-01,69,2
2013-01,70,1
2013-01,71,4
2013-01,72,5
2013-01,73,4
2013-01,74,8
2013-01,75,9
2013-01,76,4
2013-01,77,4
2013-01,78,1
2013-01,79,2
2013-01,80,2
2013-01,81,2
2013-01,82,1
2013-01,83,1
2013-01,85,2
2013-01,87,1
2013-01,88,5
2013-01,89,3
2013-01,90,1
2013-01,91,2
2013-01,92,1
2013-01,94,2
2013-01,96,1
2013-01,98,2
2013-01,99,1
2013-01,100,40
2013-02,0,229
2013-02,1,948
2013-02,2,432
2013-02,3,26
2013-02,4,8
2013-02,5,49
2013-02,6,15
2013-02,7,8
2013-02,8,12
2013-02,9,17
2013-02,10,61
2013-02,11,84
2013-02,12,130
2013-02,13,678
2013-02,14,2844
2013-02,15,4903
2013-02,16,4596
2013-02,17,3497
2013-02,18,2690
2013-02,19,2227
2013-02,20,1934
2013-02,21,1796
2013-02,22,1578
2013-02,23,1337
2013-02,24,1024
2013-02,25,790
2013-02,26,627
2013-02,27,515
2013-02,28,391
2013-02,29,324
2013-02,30,259
2013-02,31,200
2013-02,32,157
2013-02,33,134
2013-02,34,112
2013-02,35,84
2013-02,36,75
2013-02,37,71
2013-02,38,59
2013-02,39,48
2013-02,40,44
2013-02,41,39
2013-02,42,35
2013-02,43,26
2013-02,44,27
2013-02,45,26
2013-02,46,20
2013-02,47,15
2013-02,48,10
2013-02,49,20
2013-02,50,16
2013-02,51,11
2013-02,52,8
2013-02,53,3
2013-02,54,8
2013-02,55,10
2013-02,56,5
2013-02,57,10
2013-02,58,7
2013-02,59,7
2013-02,60,6
2013-02,61,4
2013-02,62,2
2013-02,63,5
2013-02,64,3
2013-02,65,3
2013-02,66,5
2013-02,67,1
2013-02,68,4
2013-02,69,2
2013-02,70,1
2013-02,71,2
2013-02,72,2
2013-02,73,2
2013-02,74,2
2013-02,75,4
2013-02,76,2
2013-02,77,2
2013-02,78,1
2013-02,79,4
2013-02,80,2
2013-02,81,4
2013-02,83,3
2013-02,84,3
2013-02,85,2
2013-02,86,5
2013-02,87,2
2013-02,88,4
2013-02,89,1
2013-02,90,2
2013-02,92,3
2013-02,93,1
2013-02,94,3
2013-02,95,3
2013-02,96,3
2013-02,97,5
2013-02,98,3
2013-02,99,2
2013-02,100,345
2013-03,0,185
2013-03,1,546
2013-03,2,82
2013-03,3,428
2013-03,4,128
2013-03,5,128
2013-03,6,41
2013-03,7,16
2013-03,8,24
2013-03,9,30
2013-03,10,84
2013-03,11,125
2013-03,12,140
2013-03,13,335
2013-03,14,1686
2013-03,15,3978
2013-03,16,4242
2013-03,17,3064
2013-03,18,2148
2013-03,19,1614
2013-03,20,1377
2013-03,21,1170
2013-03,22,1094
2013-03,23,856
2013-03,24,683
2013-03,25,546
2013-03,26,459
2013-03,27,364
2013-03,28,328
2013-03,29,260
2013-03,30,204
2013-03,31,156
2013-03,32,132
2013-03,33,103
2013-03,34,67
2013-03,35,50
2013-03,36,71
2013-03,37,52
2013-03,38,45
2013-03,39,37
2013-03,40,36
2013-03,41,38
2013-03,42,34
2013-03,43,34
2013-03,44,21
2013-03,45,16
2013-03,46,20
2013-03,47,19
2013-03,48,14
2013-03,49,12
2013-03,50,20
2013-03,51,12
2013-03,52,17
2013-03,53,12
2013-03,54,16
2013-03,55,7
2013-03,56,10
2013-03,57,9
2013-03,58,8
2013-03,59,5
2013-03,60,7
